ID,SEX,AGE,AREAdis,MARRIED,CHILD,Undesirable,ConservatibeBuying,FoodLiteracy01,FoodLiteracy02,FoodLiteracy03,FoodLiteracy04,FoodLiteracy05,FoodLiteracy06,FoodLiteracy07,FoodLiteracy08,FoodLiteracy09,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Quiz06
148,2,53,594.8,2,2,4,3,3,3,2,4,4,3,3,4,3,3,1,3,1,3,5
149,2,57,156.3,2,2,4,3,4,4,3,3,4,3,3,5,4,1,1,2,2,3,2
150,1,54,671.7,2,2,6,2,3,2,2,1,2,2,2,4,4,1,1,1,1,4,3
151,1,57,220.8,2,2,6,4,1,5,3,4,4,4,4,5,3,1,1,1,2,4,2
152,1,43,195.9,2,2,3,3,3,3,3,3,3,3,3,3,3,5,4,5,2,5,5
153,2,31,240,1,1,6,1,3,3,3,3,3,3,3,3,3,3,1,4,5,5,5
154,1,56,224.9,2,2,4,4,3,3,3,3,3,3,3,3,3,3,5,5,1,1,1
155,1,54,594.8,1,2,6,5,2,5,3,5,4,3,3,5,3,4,1,3,2,2,2
156,2,51,1137.6,2,1,4,4,4,4,4,4,4,4,4,4,4,5,1,3,2,3,5
157,2,57,195.9,2,2,5,2,4,2,3,2,4,3,4,5,4,5,1,3,2,4,1
158,1,41,902.2,2,2,4,2,4,4,2,3,3,3,3,3,3,4,2,1,2,4,1
159,1,55,342.1,2,2,5,5,3,4,3,3,3,2,4,4,2,3,4,3,5,4,1
160,2,29,594.8,1,1,6,4,4,5,3,3,3,3,3,3,3,1,3,4,2,3,1
161,2,44,141.3,1,1,1,2,5,4,2,3,5,4,5,2,2,1,1,1,1,4,2
162,2,53,222.4,1,1,5,5,4,4,4,4,4,4,3,3,3,1,5,5,5,5,5
163,2,46,594.8,2,2,4,3,4,4,3,3,4,2,4,5,4,1,4,4,2,5,5
164,1,39,1048.2,2,2,4,4,2,3,1,2,2,1,1,1,1,1,5,4,2,4,1
165,2,43,559.7,2,2,5,4,4,3,3,4,3,2,3,4,4,5,5,1,1,3,1
166,2,47,1756.4,1,1,6,3,4,4,4,4,4,4,4,4,2,3,5,5,5,3,2
167,1,43,128.3,1,1,6,4,2,5,3,4,1,2,4,5,4,3,4,3,2,3,1
168,1,36,679.9,1,1,6,5,3,5,1,1,1,1,1,1,1,3,4,4,2,3,2
169,1,56,220.8,2,2,6,6,2,4,2,4,2,2,2,2,2,3,4,4,1,3,1
170,1,26,594.8,1,1,4,3,3,5,1,3,1,2,1,5,2,3,5,2,2,3,1
171,1,36,195.9,1,1,6,6,3,3,4,3,3,5,4,5,3,5,5,5,5,5,5
172,1,39,559.7,2,2,6,3,4,5,4,5,5,4,4,5,4,5,1,2,1,4,2
173,1,44,156.3,1,1,3,3,3,3,2,3,4,3,3,3,3,3,1,1,1,1,2
174,2,59,1049.8,2,2,4,3,3,3,4,4,5,3,3,5,2,5,1,2,5,5,5
175,2,34,238.9,2,2,5,3,4,4,4,2,4,3,2,3,3,4,5,5,5,5,5
176,2,55,559.7,2,2,4,1,5,5,5,5,5,4,4,5,5,1,4,3,5,4,5
177,2,42,222.4,2,2,5,5,4,3,3,3,3,3,4,5,5,5,1,2,2,3,2
178,1,49,427.9,2,1,6,5,5,3,3,3,3,3,3,3,3,3,1,1,2,3,5
179,1,51,238.9,2,2,4,4,3,3,3,3,3,3,3,3,2,3,5,5,2,3,5
180,1,38,0,1,1,4,4,4,3,3,4,3,3,4,4,3,3,5,5,1,2,1
181,1,53,559.7,2,2,5,5,4,4,4,4,4,4,4,4,2,1,3,5,5,5,2
182,1,38,311.8,2,2,4,1,3,4,2,3,2,3,3,5,3,5,5,1,1,1,1
183,1,48,559.7,1,1,6,6,3,4,3,3,3,3,3,3,3,5,5,5,5,5,2
184,2,33,811.3,1,2,6,2,3,5,2,2,2,1,1,5,4,3,2,3,5,5,1
185,2,51,559.7,1,1,4,1,4,5,4,5,5,4,5,5,2,3,4,2,2,3,2
186,2,46,811.3,2,1,5,3,4,3,3,2,4,4,4,4,3,4,1,3,4,3,1
